0,0,'summer', ':(', ':)', 'raining', 'issued', 'soon', 'cdt', 'bring', 'windy', 'sleep', 'edt', 'winds', 'cold', 'hate', 'perfect', 'nws', 'storms', 'sunday', 'better', 'finally', 'air', 'degrees', '4', 'pretty', 'wet', 'enjoying', 'ride', 'hope', 'good', 'hit', 'watching', 'big', 'watch', 'gonna', 'da', 'mention', 'feels', 'sunny', 'world', 'bit', 'day', 'cool', 'county', 'school', 'clouds', 'd', 'cloudy', 'morning', 'bad', 'night', 'gotta', 'enjoy', 'fair', 'people', 'fucking', 'house', 'national', 'yeah', 'hail', 'year', 'home', '80', 'humidity', 'stop', 'saturday', 'best', 'sun', 'wow', 'forecast', 'current', '3', 'smh', 'conditions', 'supposed', 'ass', 'aint', 'run', '10', 'degree', 'friday', 'yesterday', 'water', 'southeast', 'news', '100', 'change', 'wait', 'dry', 'great', 'ok', 'getting', 'god', 'days', 'amazing', 'chilly', 'afternoon', 'w', 'joplin', 'wanna', 'south', 'gorgeous', 'already', 'love', 'feel', '70', 'walk', 'down', 'weather', 'lol', 'open', 'tomorrow', 'city', 'long', 'service', 'area', 'west', 'due', 'been', 'start', 'live', '2', 'damn', 'storm', 'spring', 'lovely', 'today', 'happy', 'expiring', 'life', 'north', 'season', 'sunshine', 'park', 'c', 'heat', 'warm', '90', 'glad', 'high', 'east', 'temp', 'f', 'car', 'inside', 'work', 'bed', 'n', 'texas', 'fun', 'making', 'pm', 'didnt', 'beautiful', 'crazy', 'san', 'awesome', 'fuck', 'tonight', 'cant', 'warning', 'showers', 'ready', 'partly', 'check', 'shit', 'rainy', 'end', 'winter', 'snow', '1', 'loving', 'hot', '5', 'skies', 'beach', 'channel', 'nice', 'week', 'monday', 'tornado', 'freezing', 'thunderstorm', 'rain', 'stay', 'chance', 'moving', 'mph', 'coming', 'thunder', 'weekend', 'pool', 'man', 'e', 'game', 'severe', 'time', 'haha', 'thunderstorms', 'wind', 'fb'
0,1,'summer', ':(', ':)', 'raining', 'yea', 'move', 'soon', 'tornadoes', 'bring', 'windy', 'sleep', 'cold', 'hate', 'perfect', 'la', 'storms', 'hot', 'better', 'rapture', 'finally', 'degrees', '4', 'pretty', 'wet', 'bout', 'hope', 'real', 'good', 'hit', 'watching', 'ya', 'big', 'michigan', 'de', 'watch', 'gonna', 'da', 'mention', 'game', 'vegas', 'world', 'ppl', 'day', 'cool', '60', 'school', 'clouds', 'gettin', 'cloudy', 'humidity', 'p', 'bad', 'night', 'yall', 'enjoy', 'nigga', 'people', 'spring', 'yeah', 'hail', 'warmer', 'year', 'home', '80', 'morning', 'stop', 'saturday', 'nap', 'mood', 'thunder', 'wow', 'forecast', 'waiting', 'run', 'smh', 'ass', 'aint', 'lazy', 'omg', 'degree', 'wear', 'put', '100', 'stay', 'change', 'wait', 'oo', 'great', 'ok', 'getting', 'god', 'days', 'o', 'chilly', 'sweat', 'w', 'weird', 'wanna', 'south', 'already', 'love', 'feel', '70', 'cuz', 'down', 'weather', 'done', 'lol', 'sounds', 'tomorrow', 'city', 'guess', 'long', 'to', 'been', 'start', 'live', '2', 'call', 'storm', 'house', 'damn', 'type', 'today', 'happy', 'head', 'north', 'holy', 'shorts', 'started', 'sunshine', 'haha', 'freezing', 'heat', 'warm', 'hear', '90', 'ha', 'true', 'glad', 'high', 'b', 'lmao', 'gotta', 'work', 'bed', 'n', 'cuddle', 'supposed', 'hahaha', 'fun', 'making', 'feeling', 'minutes', 'gone', 'crazy', 'san', 'fuck', 'tonight', 'cant', 'ready', 'seattle', 'check', 'shit', 'tho', 'rainy', 'end', 'winter', 'wearing', 'means', 'snow', 'trip', '1', 'sunday', 'skies', 'beach', 'nice', 'week', 'play', 'safe', 'funny', 'tornado', 'sunny', 'time', 'thunderstorm', 'rain', '3', 'mother', 'running', 'kinda', 'coming', 'weekend', 'man', 'hows', 'feels', 'thought', 'lil', 'severe', 'sun', 'thunderstorms'
1,0,'summer', 'todays', ':)', 'nws', 'issued', 'soon', 'cdt', 'bring', 'windy', 'edt', 'winds', 'cold', 'perfect', 'raining', 'flood', 'storms', 'sunday', 'better', 'finally', 'air', 'degrees', '4', 'pretty', 'wet', 'enjoying', '2011', 'lake', 'hope', 'southwest', 'good', 'hit', 'watching', 'read', 'big', 'watch', 'gonna', 'mention', 'feels', 'report', 'world', 'bit', 'day', 'cool', 'county', 'clouds', 'd', 'tstorm', 'cloudy', 'morning', 'bad', 'night', 'mo', 'enjoy', 'fair', 'people', 'spring', 'national', 'yeah', 'hail', 'video', 'year', 'home', '80', 'humidity', 'saturday', 'best', 'lt3', 'house', 'sun', 'wow', 'forecast', 'current', '3', 'conditions', 'run', '10', 'degree', 'friday', 'water', 'southeast', 'news', 'counties', 'wait', 'dry', 'c', ':-)', 'ok', 'getting', '00mph', 'god', 'days', 'amazing', 'chilly', 'afternoon', 'w', 'joplin', 'wanna', 'south', 'love', 'feel', 'tuesday', '70', 'gusting', 'walk', 'down', 'weather', 'lol', 'open', 'tomorrow', 'city', 'long', 'service', 'area', 'west', 'due', 'been', 'start', 'live', '2', 'change', 'storm', 'gorgeous', 'lovely', 'today', 'happy', 'expiring', 'life', 'north', 'season', 'sunshine', 'park', 'great', 'wx', 'freezing', 'heat', 'warm', '90', 'glad', 'high', 'east', 'temp', 'f', 'ride', 'work', 'n', 'evening', 'texas', 'fun', 'warmer', 'pm', 'beautiful', 'crazy', 'san', 'awesome', 'tonight', 'cant', 'warning', 'showers', 'ready', 'partly', 'check', 'rainy', 'end', 'winter', 'snow', '1', 'loving', 'hot', '5', 'skies', 'beach', 'channel', 'nice', 'week', 'play', 'monday', 'tornado', 'sunny', 'friends', 'thunderstorm', 'rain', 'stay', 'chance', 'moving', 'mph', 'coming', 'thunder', 'weekend', 'pool', 'man', 'hows', 'e', 'clear', 'game', 'severe', 'time', 'haha', 'thunderstorms', 'wind', 'fb'
1,1,'summer', 'ugh', ':(', ':)', 'raining', 'sooo', 'soon', 'watch', 'bring', 'windy', 'sleep', 'humid', 'cold', 'hate', 'nasty', 'aint', 'storms', 'cuz', 'better', 'to', 'air', 'degrees', '4', 'pretty', 'wet', 'bout', 'freaking', 'hope', 'wearing', 'good', 'hit', '3', 'big', 'safe', 'freezing', 'gonna', 'da', 'early', 'shitty', 'game', 'gloomy', 'worst', 'awful', 'bit', 'day', 'cool', 'school', 'd', '50', 'cloudy', 'morning', 'bad', 'stupid', 'night', 'gotta', 'bitch', 'tired', 'fucking', 'house', 'hard', 'yeah', 'hail', 'hair', 'year', 'dear', 'home', '80', 'humidity', 'stop', 'mood', 'chicago', 'sun', 'wow', 'forecast', 'bipolar', 'run', 'smh', 'ass', 'omg', 'degree', 'nature', 'yesterday', 'water', 'wear', 'wtf', 'put', '100', 'change', 'wait', 'scary', 'great', 'ok', 'getting', 'god', 'days', 'chilly', 'w', 'real', 'joplin', 'dis', 'wanna', 'fuckin', 'already', 'love', 'feel', 'ac', 'walk', 'down', 'weather', 'done', 'been', 'tomorrow', 'city', 'guess', 'long', 'crap', 'stuck', 'people', 'due', 'lol', 'start', 'live', '2', 'damn', 'storm', 'spring', 'today', 'happy', 'holy', 'shorts', 'sunshine', 'haha', 'dreary', 'crappy', 'depressing', 'heat', 'warm', '90', 'horrible', 'glad', 'high', 'room', 'car', 'inside', 'work', 'sucks', 'bed', 'n', 'supposed', 'fun', 'making', 'feeling', 'didnt', 'beautiful', 'gone', 'crazy', 'af', 'almost', 'mind', 'fuck', 'tonight', 'middle', 'cant', 'ready', 'shit', 'tho', 'rainy', 'end', 'winter', 'turn', 'watching', 'snow', '40', 'hot', '5', 'sick', 'nice', 'week', 'tornado', 'sunny', 'mother', 'thunderstorm', 'rain', 'stay', 'mad', 'kinda', 'coming', 'thunder', 'weekend', 'weird', 'pool', 'man', 'mention', 'feels', 'thought', 'severe', 'vegas', 'time', 'thunderstorms', 'wind'
2,0,'summer', 'ugh', ':(', ':)', 'raining', 'soon', 'watch', 'bring', 'windy', 'sleep', 'cold', 'hate', 'perfect', 'storms', 'amazing', 'better', 'to', 'finally', 'air', 'degrees', '4', 'pretty', 'wet', 'bout', 'enjoying', 'hope', 'real', 'good', 'hit', 'watching', 'ya', 'big', 'freezing', 'gonna', 'da', 'mention', 'game', 'world', 'bit', 'day', 'cool', 'school', 'd', 'cloudy', 'humidity', 'bad', 'night', 'ride', 'enjoy', 'people', 'fucking', 'house', 'feeling', 'yeah', 'hair', 'warmer', 'year', 'dear', 'home', '80', 'morning', 'stop', 'saturday', 'best', 'lt3', 'chicago', 'sun', 'wow', 'inside', 'forecast', '3', 'smh', 'ass', 'aint', 'run', 'degree', 'friday', 'yesterday', 'water', 'wear', 'wtf', 'put', 'news', '100', 'change', 'wait', 'great', 'lol', 'ok', 'getting', 'god', 'florida', 'days', 'chilly', 'afternoon', 'w', 'wanna', 'almost', 'bike', 'already', 'love', 'feel', '70', 'walk', 'down', 'weather', 'done', 'long', 'open', 'tomorrow', 'city', 'guess', 'omg', 'friends', 'tired', 'hey', 'been', 'sunday', 'start', 'live', '2', 'damn', 'storm', 'spring', 'lovely', 'today', 'loving', 'life', 'shorts', 'season', 'gorgeous', 'haha', 'heat', 'warm', '90', 'glad', 'high', 'kind', 'room', 'car', 'gotta', 'work', 'sucks', 'bed', 'n', 'supposed', 'fun', 'making', 'happy', 'didnt', 'beautiful', 'crazy', 'hoping', 'af', 'park', 'awesome', 'fuck', 'tonight', 'cant', ':-)', 'ready', 'wonderful', 'seattle', 'check', 'shit', 'tho', 'rainy', 'end', 'winter', 'sitting', 'snow', '1', 'hot', '5', 'sick', 'beach', 'channel', 'nice', 'week', 'play', 'sunshine', 'monday', 'tornado', 'sunny', 'thunderstorm', 'rain', 'stay', 'kinda', 'coming', 'thunder', 'weekend', 'pool', 'man', 'bipolar', 'feels', 'playing', 'thought', 'severe', 'time', 'thunderstorms'
2,1,'summer', ':)', 'nws', 'issued', 'scattered', 'isolated', 'cdt', 'tstorm', 'windy', 'edt', 'winds', 'cold', '24', 'northeast', '20', '22', '23', 'storms', 'hot', 'pct', 'fb', 'advisories', 'degrees', 'central', 'wet', 'watching', 'east', '2011', 'texas', 'southwest', 'good', 'hit', 'stay', '69mph', 'read', 'big', 'sunny', 'mph', 'mention', 'feels', 'report', 'damage', 'day', 'special', 'cool', 'down', 'clouds', 'gust', 'wednesday', 'cloudy', 'morning', 'bad', 'night', 'nice', 'heavy', 'status', 'work', 'fair', 'people', 'spring', 'national', 'hail', 'fforecast', 'home', '80', 'humidity', 'saturday', 'mdt', '00', 'sun', 'oklahoma', '81mph', '4', 'forecast', 'current', '3', '46mph', 'conditions', 'friday', '35mph', 'effect', 'southeast', 'gardner', 'news', '100', 'strong', 'counties', 'wx', 'dry', 'c', 'ok', 'tx', 'getting', '00mph', '30', 'days', 'reports', 'chilly', 's', 'statement', 'afternoon', 'w', 'joplin', 'south', 'press', 'tuesday', '70', 'gusting', 'lake', 'county', 'weather', 'tornadoes', 'been', 'rain000', 'tomorrow', 'city', 'service', 'area', 'west', 'due', 'lol', 'start', 'live', '2', 'storm', '115mph', 'today', 'pm', 'expiring', 'partly', '58mph', 'inches', 'fire', 'hum', 'update', 'sunshine', 'great', '60', 'freezing', 'heat', 'warm', '90', 'high', '12', 'temp', 'f', 'mo', '92mph', 'n', 'evening', '104mph', 'hope', 'cancelled', 'pressure', 'san', 'ne', 'tonight', 'warning', 'showers', 'ready', 'north', 'spc', 'check', 'rainy', 'az', 'alerts', 'snow', 'event', 'flood', 'sunday', '5', 'northwest', 'better', 'skies', '10', 'week', 'monday', 'tornado', 'watch', 'highs', 'raining', 'thunderstorm', 'rain', 'alert', 'chance', '000', 'moving', 'gonna', 'coming', 'thunder', 'weekend', 'e', 'clear', 'overcast', 'game', 'antonio', 'severe', 'time', 'thunderstorms', 'wind'
3,0,'summer', 'ugh', ':(', ':)', 'nws', 'issued', 'soon', 'tornadoes', 'cdt', 'bring', 'windy', 'sleep', 'edt', 'winds', 'cold', 'hate', 'aint', 'raining', 'storms', 'sunday', 'better', 'air', 'degrees', '4', 'pretty', 'wet', 'bout', 'east', '2011', 'hope', 'southwest', 'good', 'hit', 'watching', 'big', 'safe', 'watch', 'mph', 'da', 'mention', 'feels', 'sunny', 'report', 'world', 'bit', 'day', 'cool', 'county', 'school', 'clouds', 'tstorm', 'cloudy', 'morning', 'bad', 'night', 'inside', 'fair', 'people', 'fucking', 'house', 'national', 'yeah', 'hail', 'hair', 'video', 'year', 'home', '80', 'humidity', 'stop', 'saturday', 'sun', 'wow', 'forecast', 'current', '3', 'smh', 'conditions', 'supposed', 'ass', 'perfect', 'run', '10', 'degree', 'friday', 'yesterday', 'water', 'southeast', 'wear', 'wtf', 'put', 'news', '100', 'change', 'wait', 'dry', 'c', 'ok', 'getting', '00mph', 'days', 'chilly', 'afternoon', 'w', 'joplin', 'wanna', 'south', 'already', 'love', 'feel', '70', 'gusting', 'down', 'weather', 'lol', 'tomorrow', 'city', 'long', 'service', 'area', 'west', 'due', 'been', 'start', 'live', '2', 'damn', 'counties', 'storm', 'spring', 'wx', 'today', 'pm', 'expiring', 'north', 'season', 'sunshine', 'haha', 'great', 'heat', 'warm', '90', 'tonight', 'room', 'temp', 'f', 'car', 'mo', 'work', 'sucks', 'bed', 'n', 'texas', 'fun', 'making', 'happy', 'didnt', 'crazy', 'san', 'af', 'fuck', 'high', 'cant', 'warning', 'showers', 'ready', 'partly', 'check', 'shit', 'rainy', 'end', 'winter', 'snow', '1', 'flood', 'hot', '5', 'channel', 'nice', 'week', 'monday', 'tornado', 'freezing', 'thunderstorm', 'rain', 'stay', 'chance', 'moving', 'gonna', 'coming', 'thunder', 'weekend', 'man', 'e', 'game', 'severe', 'time', 'thunderstorms', 'wind', 'fb'
3,1,'summer', 'golf', ':)', 'raining', 'soon', 'watch', 'bring', 'windy', 'sleep', 'todays', 'cold', 'perfect', 'la', 'show', 'storms', 'hot', 'better', 'to', 'finally', 'bike', 'degrees', '4', 'pretty', 'enjoying', 'excited', 'hope', '(:', 'coffee', 'good', 'hit', 'sitting', 'food', 'big', 'sunny', 'gonna', 'lovin', 'early', 'mention', 'game', 'listening', 'world', 'bit', 'day', 'cool', 'school', 'd', 'mothers', 'bright', 'cloudy', 'morning', 'bad', 'miles', 'night', 'gotta', 'enjoy', 'people', 'absolutely', 'spring', 'feeling', 'yeah', 'warmer', 'year', 'home', '80', 'humidity', 'saturday', 'best', 'lt3', 'chicago', 'house', 'sun', 'wow', 'forecast', '3', 'supposed', 'ass', 'run', 'degree', 'friday', 'free', 'yesterday', 'super', 'wait', 'great', ':-)', 'ok', 'getting', 'god', 'florida', 'days', 'amazing', 'chilly', 'place', 'afternoon', 'w', 'wanna', 'fantastic', 'already', 'love', 'family', 'feel', 'sweet', 'coming', 'walk', 'down', 'weather', 'done', 'long', 'sounds', 'open', 'tomorrow', 'san', 'city', 'yay', 'working', 'friends', 'live', 'been', 'start', 'beer', '2', 'music', 'storm', 'gorgeous', 'damn', 'lol', 'today', 'loving', 'life', 'kids', 'shorts', 'sunshine', 'park', 'warm', '90', 'glad', 'high', 'kind', 'lovely', 'hour', 'ride', 'work', 'bed', 'n', 'cuddle', 'skies', 'sky', 'fun', 'making', 'happy', 'beautiful', 'hoping', 'almost', 'favorite', 'awesome', 'tonight', 'cant', 'evening', 'ready', 'wonderful', 'seattle', 'heading', 'check', 'rainy', 'end', 'air', 'weathers', 'watching', 'snow', '1', 'sunday', '5', 'party', 'beach', 'nice', 'week', 'blue', 'play', 'monday', 'haha', 'thunderstorm', 'rain', 'stay', 'running', '70', 'thunder', 'weekend', 'pool', 'man', 'lunch', 'windows', 'later', 'feels', 'playing', 'lots', 'breeze', 'time', 'thunderstorms', 'patio', 'fb'
4,0,'summer', ':(', ':)', 'raining', 'issued', 'soon', 'cdt', 'bring', 'windy', 'sleep', 'edt', 'winds', 'todays', 'cold', 'hate', 'perfect', 'nws', 'storms', 'sunday', 'better', 'finally', 'air', 'degrees', '4', 'pretty', 'wet', 'enjoying', 'hope', 'southwest', 'good', 'hit', 'watching', 'big', 'watch', 'gonna', 'early', 'mention', 'feels', 'sunny', 'bit', 'day', 'cool', 'county', 'school', 'clouds', 'd', 'tstorm', 'cloudy', 'morning', 'bad', 'night', 'gotta', 'enjoy', 'fair', 'people', 'fucking', 'spring', 'national', 'yeah', 'hail', 'warmer', 'year', 'home', '80', 'humidity', 'saturday', 'best', 'sun', 'wow', 'inside', 'forecast', 'current', '3', 'smh', 'conditions', 'supposed', 'ass', 'aint', 'run', '10', 'degree', 'friday', 'yesterday', 'southeast', 'news', '100', 'wait', 'dry', 'c', 'ok', 'getting', '00mph', 'god', 'days', 'amazing', 'chilly', 'afternoon', 'w', 'joplin', 'wanna', 'south', 'gorgeous', 'already', 'love', 'feel', '70', 'walk', 'down', 'weather', 'lol', 'open', 'tomorrow', 'city', 'long', 'service', 'area', 'west', 'due', 'been', 'start', 'live', '2', 'damn', 'storm', 'house', 'lovely', 'today', 'happy', 'expiring', 'north', 'shorts', 'sunshine', 'park', 'great', 'heat', 'warm', '90', 'glad', 'high', 'east', 'f', 'car', 'ride', 'work', 'sucks', 'bed', 'n', 'evening', 'texas', 'fun', 'making', 'pm', 'didnt', 'beautiful', 'crazy', 'san', 'awesome', 'fuck', 'tonight', 'cant', 'warning', 'showers', 'ready', 'partly', 'shit', 'rainy', 'end', 'winter', 'snow', 'loving', 'hot', '5', 'skies', 'beach', 'nice', 'week', 'monday', 'tornado', 'freezing', 'thunderstorm', 'rain', 'stay', 'chance', 'moving', 'mph', 'kinda', 'coming', 'thunder', 'weekend', 'pool', 'man', 'e', 'clear', 'game', 'severe', 'time', 'haha', 'thunderstorms', 'wind', 'fb'
4,1,'summer', ':(', ':)', 'show', 'photo', 'humidity', 'soon', 'damage', 'bring', 'windy', 'radio', 'cold', 'hate', 'find', 'perfect', 'park', 'head', 'music', 'lmao', 'state', 'better', 'degrees', '4', 'pretty', 'bout', '2011', 'hope', 'real', 'good', 'victims', 'watching', 'ya', 'big', 'watch', 'gonna', 'da', 'mention', 'game', 'fan', 'report', 'world', 'bit', 'day', 'cool', 'school', 'd', 'friday', 'morning', 'bad', 'night', 'sleep', 'gotta', 'yall', 'enjoy', 'people', 'house', 'national', 'yeah', 'video', 'year', 'home', 'air', 'saturday', 'best', 'lt3', 'sun', 'ice', 'forecast', '3', 'red', 'ass', 'aint', 'full', 'team', 'free', 'update', 'water', 'wear', 'put', 'news', 'post', 'change', 'wait', 'great', 'kids', 'ok', 'getting', 'god', 'days', 'local', 'chilly', 'place', 'w', 'joplin', 'wanna', 'love', 'blizzard', 'feel', 'app', 'crazy', 'walk', 'down', 'weather', 'lol', 'blog', 'open', 'tomorrow', 'sunday', 'city', 'long', 'service', 'area', 'friends', 'hey', 'been', 'sports', 'start', 'live', '2', 'call', 'calm', 'storm', 'spring', 'damn', 'white', 'twitter', 'today', 'happy', 'life', 'season', 'sunshine', 'haha', 'climate', 'freezing', 'phone', 'heat', 'warm', 'tho', 'baby', '10', 'room', 'temp', 'car', 'inside', 'work', 'bed', 'n', 'states', 'fun', 'feeling', 'didnt', 'beautiful', 'stop', 'patrol', 'give', 'predict', 'awesome', 'fuck', 'tonight', 'cant', 'ready', 'hit', 'check', 'shit', 'high', 'rainy', 'end', 'winter', 'turn', 'lil', 'song', 'snow', '1', 'food', 'hot', '5', 'party', 'beach', 'channel', 'nice', 'week', 'play', 'ur', 'monday', 'tornado', 'sunny', 'thunderstorm', 'rain', 'stay', 'coming', 'thunder', 'weekend', 'man', 'hows', 'thought', 'severe', 'time', 'alabama', 'playing', 'talk'
5,0,'summer', ':(', ':)', 'nws', 'issued', 'move', 'soon', 'snow', 'cdt', 'bring', 'windy', 'cold', 'hate', 'perfect', 'show', 'storms', 'hot', 'thursday', 'better', 'air', 'degrees', '4', 'pretty', 'wet', 'weeks', '2011', 'excited', 'hope', 'good', 'victims', '10', 'big', 'watch', 'gonna', 'da', 'early', 'mention', 'game', 'report', 'world', 'day', 'cool', 'county', 'school', 'clouds', 'd', 'wednesday', 'cloudy', 'humidity', 'bad', 'night', 'enjoy', 'app', 'people', 'spring', 'national', 'yeah', 'hail', 'video', 'year', 'home', '80', 'morning', 'saturday', 'best', 'lots', 'sun', 'forecast', '3', 'conditions', 'ass', 'run', 'degree', 'state', 'friday', 'photo', 'free', 'yesterday', 'water', 'wear', 'news', 'change', 'wait', 'dry', 'great', 'ok', 'getting', 'florida', 'days', 'chilly', 'place', 'afternoon', 'w', 'joplin', 'wanna', 'south', '6', 'love', 'blizzard', 'feel', 'tuesday', '70', 'childhoodmemories', 'down', 'weather', 'tornadoes', 'lol', 'blog', 'tomorrow', 'san', 'city', 'long', 'service', 'area', 'guys', 'due', 'been', 'start', 'live', '2', 'call', 'storm', 'house', 'damn', 'today', 'pm', 'life', 'partly', 'fire', 'season', 'update', 'sunshine', 'haha', 'c', 'freezing', 'heat', 'warm', '90', 'tonight', 'b', 'local', 'mo', 'work', 'n', 'states', 'supposed', 'fun', 'warmer', 'happy', 'didnt', 'beautiful', 'crazy', 'hoping', 'park', 'awesome', 'high', 'cant', 'warning', 'showers', 'ready', 'hit', 'texas', 'check', 'shit', 'rainy', 'united', 'end', 'winter', 'climate', 'watching', 'damage', 'event', '1', 'flood', 'sunday', '5', 'party', 'beach', 'channel', 'nice', 'week', 'monday', 'tornado', 'sunny', 'missouri', 'thunderstorm', 'rain', 'stay', 'chance', 'coming', 'thunder', 'weekend', 'man', 'remember', 'severe', 'time', 'north', 'alabama', 'thunderstorms', 'fb'
